,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2018-07-20,191.78,192.43,190.17,191.44,191.44,20706042,0.0,1.0
1,2018-07-19,189.69,192.55,189.69,191.88,191.88,20286752,0.0,1.0
2,2018-07-18,191.78,191.8,189.93,190.4,190.4,16393381,0.0,1.0
3,2018-07-17,189.75,191.87,189.2,191.45,191.45,15534523,0.0,1.0
4,2018-07-16,191.52,192.65,190.415,190.91,190.91,15043110,0.0,1.0
5,2018-07-13,191.08,191.84,190.9,191.33,191.33,12519792,0.0,1.0
6,2018-07-12,189.53,191.41,189.31,191.03,191.03,18041131,0.0,1.0
7,2018-07-11,188.5,189.7799,187.61,187.88,187.88,18831470,0.0,1.0
8,2018-07-10,190.71,191.28,190.1801,190.35,190.35,15939149,0.0,1.0
9,2018-07-09,189.5,190.68,189.3,190.58,190.58,19756634,0.0,1.0
10,2018-07-06,185.42,188.434,185.2,187.97,187.97,17485245,0.0,1.0
11,2018-07-05,185.26,186.41,184.28,185.4,185.4,16604248,0.0,1.0
12,2018-07-03,187.79,187.95,183.54,183.92,183.92,13954806,0.0,1.0
13,2018-07-02,183.82,187.3,183.42,187.18,187.18,17731343,0.0,1.0
14,2018-06-29,186.29,187.19,182.91,185.11,185.11,22737666,0.0,1.0
15,2018-06-28,184.1,186.21,183.8,185.5,185.5,17365235,0.0,1.0
16,2018-06-27,185.2278,187.28,184.03,184.16,184.16,25285328,0.0,1.0
17,2018-06-26,182.99,186.53,182.54,184.43,184.43,24569201,0.0,1.0
18,2018-06-25,183.4,184.92,180.73,182.17,182.17,31663096,0.0,1.0
19,2018-06-22,186.12,186.15,184.7,184.92,184.92,27200447,0.0,1.0
20,2018-06-21,187.25,188.35,184.94,185.46,185.46,25711898,0.0,1.0
21,2018-06-20,186.35,187.2,185.73,186.5,186.5,20628701,0.0,1.0
22,2018-06-19,185.14,186.33,183.45,185.69,185.69,33578455,0.0,1.0
23,2018-06-18,187.88,189.22,187.2,188.74,188.74,18484865,0.0,1.0
24,2018-06-15,190.03,190.16,188.26,188.84,188.84,61719160,0.0,1.0
25,2018-06-14,191.55,191.57,190.22,190.8,190.8,21610074,0.0,1.0
26,2018-06-13,192.42,192.88,190.44,190.7,190.7,21638393,0.0,1.0
27,2018-06-12,191.385,192.611,191.15,192.28,192.28,16911141,0.0,1.0
28,2018-06-11,191.35,191.97,190.21,191.23,191.23,18308460,0.0,1.0
29,2018-06-08,191.17,192.0,189.77,191.7,191.7,26656799,0.0,1.0
30,2018-06-07,194.14,194.2,192.335,193.46,193.46,21347180,0.0,1.0
31,2018-06-06,193.63,194.08,191.92,193.98,193.98,20933619,0.0,1.0
32,2018-06-05,193.065,193.94,192.36,193.31,193.31,21565963,0.0,1.0
33,2018-06-04,191.635,193.42,191.35,191.83,191.83,26266174,0.0,1.0
34,2018-06-01,187.9912,190.26,187.75,190.24,190.24,23442510,0.0,1.0
35,2018-05-31,187.22,188.23,186.14,186.87,186.87,27482793,0.0,1.0
36,2018-05-30,187.72,188.0,186.78,187.5,187.5,18690547,0.0,1.0
37,2018-05-29,187.6,188.75,186.87,187.9,187.9,22514075,0.0,1.0
38,2018-05-25,188.23,189.65,187.65,188.58,188.58,17460963,0.0,1.0
39,2018-05-24,188.77,188.84,186.21,188.15,188.15,23233975,0.0,1.0
40,2018-05-23,186.35,188.5,185.76,188.36,188.36,20058415,0.0,1.0
41,2018-05-22,188.375,188.88,186.78,187.16,187.16,15240704,0.0,1.0
42,2018-05-21,188.0,189.27,186.9106,187.63,187.63,18400787,0.0,1.0
43,2018-05-18,187.19,187.8102,186.13,186.31,186.31,18297728,0.0,1.0
44,2018-05-17,188.0,188.91,186.36,186.99,186.99,17294029,0.0,1.0
45,2018-05-16,186.07,188.46,186.0,188.18,188.18,19183064,0.0,1.0
46,2018-05-15,186.78,187.07,185.1,186.44,186.44,23695159,0.0,1.0
47,2018-05-14,189.01,189.53,187.86,188.15,188.15,20778772,0.0,1.0
48,2018-05-11,189.49,190.06,187.45,188.59,188.59,26212221,0.73,1.0
49,2018-05-10,187.74,190.37,187.65,190.04,189.3072,27989289,0.0,1.0
50,2018-05-09,186.55,187.4,185.22,187.36,186.6376,23211241,0.0,1.0
51,2018-05-08,184.99,186.22,183.665,186.05,185.3326,28402777,0.0,1.0
52,2018-05-07,185.18,187.67,184.75,185.16,184.446,42451423,0.0,1.0
53,2018-05-04,178.25,184.25,178.17,183.83,183.1212,56201317,0.0,1.0
54,2018-05-03,175.88,177.5,174.4411,176.89,176.2079,34068180,0.0,1.0
55,2018-05-02,175.225,177.75,173.8,176.57,175.8892,66539371,0.0,1.0
56,2018-05-01,166.4102,169.2,165.27,169.1,168.448,53569376,0.0,1.0
57,2018-04-30,162.1302,167.26,161.84,165.26,164.6228,42427424,0.0,1.0
58,2018-04-27,164.0,164.33,160.63,162.32,161.6941,35655839,0.0,1.0
59,2018-04-26,164.12,165.73,163.37,164.22,163.5868,27963014,0.0,1.0
60,2018-04-25,162.62,165.42,162.41,163.65,163.019,28382084,0.0,1.0
61,2018-04-24,165.67,166.33,161.2201,162.94,162.3117,33692017,0.0,1.0
62,2018-04-23,166.8348,166.92,164.09,165.24,164.6029,36515477,0.0,1.0
63,2018-04-20,170.595,171.2184,165.43,165.72,165.081,65491140,0.0,1.0
64,2018-04-19,174.95,175.39,172.66,172.8,172.1337,34808800,0.0,1.0
65,2018-04-18,177.81,178.82,176.88,177.84,177.1543,20754538,0.0,1.0
66,2018-04-17,176.49,178.9365,176.41,178.24,177.5527,26605442,0.0,1.0
67,2018-04-16,175.0301,176.19,174.8301,175.82,175.1421,21578420,0.0,1.0
68,2018-04-13,174.78,175.84,173.85,174.73,174.0563,25124255,0.0,1.0
69,2018-04-12,173.41,175.0,173.04,174.14,173.4685,22889285,0.0,1.0
70,2018-04-11,172.23,173.9232,171.7,172.44,171.7751,22431640,0.0,1.0
71,2018-04-10,173.0,174.0,171.53,173.25,172.582,28614241,0.0,1.0
72,2018-04-09,169.88,173.09,169.845,170.05,169.3943,29017718,0.0,1.0
73,2018-04-06,170.97,172.48,168.2,168.38,167.7307,35005290,0.0,1.0
74,2018-04-05,172.58,174.2304,172.08,172.8,172.1337,26933197,0.0,1.0
75,2018-04-04,164.88,172.01,164.77,171.61,170.9483,34605489,0.0,1.0
76,2018-04-03,167.64,168.7455,164.88,168.39,167.7407,30278046,0.0,1.0
77,2018-04-02,167.88,168.94,164.47,166.68,166.0373,37586791,0.0,1.0
78,2018-03-29,167.805,171.75,166.9,167.78,167.1331,38398505,0.0,1.0
79,2018-03-28,167.25,170.02,165.19,166.48,165.8381,41668545,0.0,1.0
80,2018-03-27,173.68,175.15,166.92,168.34,167.6909,38962839,0.0,1.0
81,2018-03-26,168.07,173.1,166.44,172.77,172.1038,36272617,0.0,1.0
82,2018-03-23,168.39,169.92,164.94,164.94,164.304,40248954,0.0,1.0
83,2018-03-22,170.0,172.68,168.6,168.85,168.1989,41051076,0.0,1.0
84,2018-03-21,175.04,175.09,171.26,171.27,170.6096,35247358,0.0,1.0
85,2018-03-20,175.24,176.8,174.94,175.24,174.5643,19314039,0.0,1.0
86,2018-03-19,177.32,177.47,173.66,175.3,174.6241,32804695,0.0,1.0
87,2018-03-16,178.65,179.12,177.62,178.02,177.3336,36836456,0.0,1.0
88,2018-03-15,178.5,180.24,178.0701,178.65,177.9611,22584565,0.0,1.0
89,2018-03-14,180.32,180.52,177.81,178.44,177.752,29075469,0.0,1.0
90,2018-03-13,182.59,183.5,179.24,179.97,179.2761,31168404,0.0,1.0
91,2018-03-12,180.29,182.39,180.21,181.72,181.0193,32055405,0.0,1.0
92,2018-03-09,177.96,180.0,177.39,179.98,179.286,31385134,0.0,1.0
93,2018-03-08,175.48,177.12,175.07,176.94,176.2577,23163767,0.0,1.0
94,2018-03-07,174.94,175.85,174.27,175.03,174.3551,31703462,0.0,1.0
95,2018-03-06,177.91,178.25,176.13,176.67,175.9888,23788506,0.0,1.0
96,2018-03-05,175.21,177.74,174.52,176.82,176.1382,28401366,0.0,1.0
97,2018-03-02,172.8,176.3,172.45,176.21,175.5306,38453950,0.0,1.0
98,2018-03-01,178.54,179.775,172.66,175.0,174.3252,48801970,0.0,1.0
99,2018-02-28,179.26,180.615,178.05,178.12,177.4332,33604574,0.0,1.0
